TransactionID,Items
T001,"baby_wipes,beer,cheese,chicken,coffee,diapers,eggs,milk"
T002,"cheese,pasta,tomatoes"
T003,"bread,eggs,milk,onions"
T004,"cheese,chicken,onions,pasta"
T005,"bread,butter,chicken,coffee,eggs,juice,milk"
T006,"beer,chicken,onions,rice"
T007,"chicken,onions,rice"
T008,"bread,eggs,milk,onions,pasta"
T009,"eggs,onions,yogurt"
T010,"apples,bananas,cereal,chips,eggs"
T011,"coffee,eggs,milk"
T012,"cereal,coffee,pasta,yogurt"
T013,"cheese,coffee,pasta,tomatoes"
T014,"apples,baby_wipes,butter,cheese,chips,eggs,onions,tomatoes"
T015,"baby_wipes,bread,cheese,juice,onions"
T016,"coffee,eggs,juice,yogurt"
T017,"apples,chips,juice,rice"
T018,"apples,baby_wipes,cheese,coffee,diapers,pasta"
T019,"apples,baby_wipes,cereal,cheese,chicken,coffee,milk,yogurt"
T020,"beer,bread,chips"
T021,"bananas,cereal,milk"
T022,"bread,butter,cheese"
T023,"beer,bread,coffee,eggs,juice,milk,onions"
T024,"baby_wipes,diapers,milk"
T025,"baby_wipes,beer,butter,coffee,milk,tomatoes"
T026,"butter,cereal,cheese,diapers,onions,pasta,tomatoes"
T027,"bread,butter,cheese"
T028,"chicken,onions,rice"
T029,"apples,cheese,eggs,pasta,tomatoes"
T030,"diapers,eggs,onions"
T031,"baby_wipes,coffee,diapers,milk"
T032,"bananas,chicken,chips,juice,onions,tea,yogurt"
T033,"bananas,beer,bread,butter,cheese,eggs,juice"
T034,"cheese,pasta,tomatoes"
T035,"baby_wipes,bananas,beer,bread,cheese,chips,eggs"
T036,"cheese,coffee,pasta,rice,tomatoes"
T037,"bread,butter,cheese"
T038,"bananas,beer,cereal,chicken,chips,onions"
T039,"baby_wipes,beer,bread,eggs,milk"
T040,"apples,beer,cheese,chips,diapers,pasta"
